,v1,v2,no_punctuation,to_lowercase,word_tokens,stop_words,word_lemmatize,no_link,text_no_carac
0,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",Go until jurong point crazy Available only in bugis n great world la e buffet Cine there got amore wat,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,"['go until jurong point crazy available only in bugis n great ', 'orld la e buffet cine there got amore ', 'at']","['go until jurong point crazy available only in bugis n great ', 'orld la e buffet cine there got amore ']","['go until jurong point crazy available only in bugis n great ', 'orld la e buffet cine there got amore ']","Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat
1,ham,Ok lar... Joking wif u oni...,Ok lar Joking wif u oni,ok lar joking wif u oni,"['ok lar joking ', 'if u oni']","['ok lar joking ', 'if u oni']","['ok lar joking ', 'if u oni']",Ok lar... Joking wif u oni...,ok lar joking wif u oni
2,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005 Text FA to 87121 to receive entry questionstd txt rateTCs apply 08452810075over18s,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry questionstd txt ratetcs apply 08452810075over18s,"['free entry in 2 a ', 'kly comp to ', 'in fa cup final tkts 21st may 2005 text fa to 87121 to receive entry questionstd txt ratetcs apply 08452810075over18s']","['free entry in 2 a ', 'kly comp to ', 'in fa cup final tkts 21st may 2005 text fa to 87121 to receive entry questionstd txt ratetcs apply 08452810075over18s']","['free entry in 2 a ', 'kly comp to ', 'in fa cup final tkts 21st may 2005 text fa to 87121 to receive entry questionstd txt ratetcs apply 08452810075over18s']",Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry questionstd txt ratetcs apply 08452810075over18s
3,ham,U dun say so early hor... U c already then say...,U dun say so early hor U c already then say,u dun say so early hor u c already then say,['u dun say so early hor u c already then say'],['u dun say so early hor u c already then say'],['u dun say so early hor u c already then say'],U dun say so early hor... U c already then say...,u dun say so early hor u c already then say
4,ham,"Nah I don't think he goes to usf, he lives around here though",Nah I dont think he goes to usf he lives around here though,nah i dont think he goes to usf he lives around here though,['nah i dont think he goes to usf he lives around here though'],['nah i dont think he goes to usf he lives around here though'],['nah i dont think he goes to usf he lives around here though'],"Nah I don't think he goes to usf, he lives around here though",nah i dont think he goes to usf he lives around here though
5,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",FreeMsg Hey there darling its been 3 weeks now and no word back Id like some fun you up for it still Tb ok XxX std chgs to send å£150 to rcv,freemsg hey there darling its been 3 weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send å£150 to rcv,"['freemsg hey there darling its been 3 ', 'eeks no', ' and no ', 'ord back id like some fun you up for it still tb ok xxx std chgs to send å£150 to rcv']","['freemsg hey there darling its been 3 ', 'eeks no', ' and no ', 'ord back id like some fun you up for it still tb ok xxx std chgs to send å£150 to rcv']","['freemsg hey there darling its been 3 ', 'eeks no', ' and no ', 'ord back id like some fun you up for it still tb ok xxx std chgs to send å£150 to rcv']","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",freemsg hey there darling its been 3 weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send å 150 to rcv
6,ham,Even my brother is not like to speak with me. They treat me like aids patent.,Even my brother is not like to speak with me They treat me like aids patent,even my brother is not like to speak with me they treat me like aids patent,"['even my brother is not like to speak ', 'ith me they treat me like aids patent']","['even my brother is not like to speak ', 'ith me they treat me like aids patent']","['even my brother is not like to speak ', 'ith me they treat me like aids patent']",Even my brother is not like to speak with me. They treat me like aids patent.,even my brother is not like to speak with me they treat me like aids patent
7,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,As per your request Melle Melle Oru Minnaminunginte Nurungu Vettam has been set as your callertune for all Callers Press 9 to copy your friends Callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune,['as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune'],['as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune'],['as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune'],As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune
8,spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINNER As a valued network customer you have been selected to receivea å£900 prize reward To claim call 09061701461 Claim code KL341 Valid 12 hours only,winner as a valued network customer you have been selected to receivea å£900 prize reward to claim call 09061701461 claim code kl341 valid 12 hours only,"['', 'inner as a valued net', 'ork customer you have been selected to receivea å£900 prize re', 'ard to claim call 09061701461 claim code kl341 valid 12 hours only']","['', 'inner as a valued net', 'ork customer you have been selected to receivea å£900 prize re', 'ard to claim call 09061701461 claim code kl341 valid 12 hours only']","['', 'inner as a valued net', 'ork customer you have been selected to receivea å£900 prize re', 'ard to claim call 09061701461 claim code kl341 valid 12 hours only']",WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner as a valued network customer you have been selected to receivea å 900 prize reward to claim call 09061701461 claim code kl341 valid 12 hours only
9,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Had your mobile 11 months or more U R entitled to Update to the latest colour mobiles with camera for Free Call The Mobile Update Co FREE on 08002986030,had your mobile 11 months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on 08002986030,"['had your mobile 11 months or more u r entitled to update to the latest colour mobiles ', 'ith camera for free call the mobile update co free on 08002986030']","['had your mobile 11 months or more u r entitled to update to the latest colour mobiles ', 'ith camera for free call the mobile update co free on 08002986030']","['had your mobile 11 months or more u r entitled to update to the latest colour mobiles ', 'ith camera for free call the mobile update co free on 08002986030']",Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,had your mobile 11 months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on 08002986030
